image_name,width,height,capacity_pct,bit_count,MSE,PSNR,AD,SC,NCC,NAE
lake.tif,512,512,75,589824,0.37493642171223956,52.39122730581472,0.37493642171223956,0.9999988126476466,0.9999905161639672,0.0030146720062989717
lake.tif,512,512,100,786432,0.4999427795410156,51.141600604352035,0.4999427795410156,0.9999929717102044,0.9999873542312822,0.004019784195279734
lena.bmp,512,512,25,196608,0.12481435139973958,57.16815836616259,0.12481435139973958,0.9981595845680642,0.9999968997625319,0.0010059897373837748
lena.bmp,512,512,50,393216,0.2496007283528646,54.158345125531625,0.2496007283528646,0.9963111844235709,0.99999466571664,0.0020117540038510433
lena.bmp,512,512,75,589824,0.3745015462239583,52.3962674573457,0.3745015462239583,0.9946269949149271,0.9999930719856752,0.003018440651340384
lena.bmp,512,512,100,786432,0.4992663065592448,51.1474810258196,0.4992663065592448,0.9930184650432117,0.9999920740108413,0.004024030690281261
lena_color_256.tif,256,256,25,49152,0.12456258138020833,57.176927610865576,0.12456258138020833,0.999990103378264,0.9999968507208497,0.0009742408181681552
lena_color_256.tif,256,256,50,98304,0.24920145670572916,54.1652978420738,0.24920145670572916,0.9999842238798178,0.9999936995379217,0.0019490783538647922
lena_color_256.tif,256,256,75,147456,0.3735809326171875,52.40695658916016,0.3735809326171875,0.9999912105659485,0.9999905548307427,0.002921887049964591
lena_color_256.tif,256,256,100,196608,0.498779296875,51.15171942203237,0.498779296875,0.9999831048772062,0.9999873895403563,0.0039011005142034288
lena_color_512.tif,512,512,25,196608,0.12497838338216145,57.162454581773225,0.12497838338216145,1.000029074922165,0.9999968633037872,0.0009746546554027037
lena_color_512.tif,512,512,50,393216,0.24995549519856772,54.15217671836989,0.24995549519856772,1.0000582276913534,0.9999937267604981,0.001949299394390669
lena_color_512.tif,512,512,75,589824,0.3744316101074219,52.39707855428617,0.3744316101074219,1.0000705234108531,0.9999906026594886,0.002920037065971666
lena_color_512.tif,512,512,100,786432,0.49968592325846356,51.14383245840539,0.49968592325846356,1.0000912356649168,0.9999874591558415,0.0038968435833726237
lena_gray_256.tif,256,256,25,49152,0.12380472819010417,57.20343129853761,0.12380472819010417,1.0000255707592778,0.9999964961134041,0.0009983571670035265
lena_gray_256.tif,256,256,50,98304,0.24843851725260416,54.178614322720726,0.24843851725260416,1.0000313112959203,0.9999929687013159,0.002003399853017019
lena_gray_256.tif,256,256,75,147456,0.3731231689453125,52.41228143634394,0.3731231689453125,1.000026716673154,0.9999894398098662,0.003008852693571
lena_gray_256.tif,256,256,100,196608,0.497955322265625,51.15889982292795,0.497955322265625,1.0000178698830704,0.9999859067739744,0.004015494982292398
lena_gray_512.tif,512,512,25,196608,0.12508392333984375,57.158788661502065,0.12508392333984375,1.000003869110096,0.9999964621358752,0.0010083550782640682
lena_gray_512.tif,512,512,50,393216,0.2500902811686198,54.149835460540466,0.2500902811686198,1.0000004735130188,0.9999929264739036,0.0020160848677228697
lena_gray_512.tif,512,512,75,589824,0.37492116292317706,52.39140405425409,0.37492116292317706,0.9999941190675377,0.999989395808902,0.0030224000693927066
lena_gray_512.tif,512,512,100,786432,0.5002772013346354,51.138696492300966,0.5002772013346354,1.0000009110616008,0.9999858502114325,0.004032948783793285
livingroom.tif,512,512,25,196608,0.12491989135742188,57.16448763014622,0.12491989135742188,1.0000307967841673,0.9999962342135569,0.0010332504911308065
livingroom.tif,512,512,50,393216,0.2499211629231771,54.15277327824259,0.2499211629231771,1.0000531221904636,0.9999924660053046,0.0020671741027656018
livingroom.tif,512,512,75,589824,0.3749961853027344,52.390535110345894,0.3749961853027344,1.0000508956698346,0.9999886953651921,0.003101707729857137
livingroom.tif,512,512,100,786432,0.4999122619628906,51.141865715097794,0.4999122619628906,1.0000390747817307,0.9999849294934928,0.004134926668464319
mandril_color.tif,512,512,25,196608,0.12467193603515625,57.17311657162796,0.12467193603515625,0.9999769101333571,0.9999964039793151,0.0010496756209416485
mandril_color.tif,512,512,50,393216,0.24982452392578125,54.154452923907705,0.24982452392578125,0.9999164208127298,0.9999927950524373,0.002103398091165429
mandril_color.tif,512,512,75,589824,0.37470118204752606,52.393952977289885,0.37470118204752606,0.9998917200746797,0.9999891938949269,0.0031547973701346525
mandril_color.tif,512,512,100,786432,0.499908447265625,51.141898855078935,0.499908447265625,0.9998778658145802,0.9999855830191775,0.004208980196229152
mandril_gray.tif,512,512,25,196608,0.12488301595052083,57.165769823858376,0.12488301595052083,1.0000032103601637,0.9999965503799941,0.0009720097571521527
mandril_gray.tif,512,512,50,393216,0.2494964599609375,54.16015972953943,0.2494964599609375,1.0000039808496701,0.9999931082030752,0.0019419213382309514
mandril_gray.tif,512,512,75,589824,0.3741162618001302,52.400737746783435,0.3741162618001302,0.9999814405181294,0.9999896660087159,0.0029118824045944987
mandril_gray.tif,512,512,100,786432,0.4994087219238281,51.14624238050192,0.4994087219238281,0.9999737809804139,0.9999862052107971,0.003887079014084482
peppers.png,512,512,25,196608,0.12461471557617188,57.17511030293004,0.12461471557617188,0.999981982284648,0.9999962513620666,0.0011262971707979592
